Adjusted Axial Response,Axial Force,Sample
8.37,0,1
8.37,0,1
420.58,19.2039,1
428.56,19.184,1
-441.51,-21.7575,1
-378.91,-19.3263,1
-399.63,-19.329,1
-454.21,-22.1582,1
445.7,20.7657,1
407.31,18.6251,1
8.44,0,1
8.36,0,1
398.02,19.3421,1
463.25,22.4106,1
-471.27,-22.284,1
-405.03,-19.022,1
-391.25,-19.0844,1
-439.24,-21.5796,1
485.1,22.4434,1
429.3,19.4797,1
8.36,0,1
8.4,0,1
456.61,20.6858,1
432.53,19.7084,1
-379.08,-19.2308,1
-440.78,-21.8201,1
-449.64,-22.0577,1
-386.74,-18.6708,1
419.3,19.1364,1
454.75,21.3032,1
8.31,0,1
8.36,0,1
473.14,22.724,1
403.81,19.7534,1
-417.9,-19.7633,1
-474.58,-22.2624,1
-457.42,-22.2825,1
-380.88,-18.7287,1
432.45,19.7479,1
483.81,22.1969,1
8.32,0,1
8.32,0,1
8.47,0,1
-24.53,-2.0712,1
-36.99,-1.9946,1
8.41,0,1
8.42,0,1
-66.33,-4.4202,1
-39.86,-4.3666,1
-16.25,-1.2517,1
-13.04,-1.3194,1
-1065.89,-51.0501,1
8.05,0,1
8.44,0,1
-39.15,-2.2527,1
-51.26,-2.2414,1
-10.64,-0.6733,1
-6.07,-0.7601,1
8.31,0,1
8.06,0,1
78.69,3.2574,1
26.92,3.2854,1
29.39,1.5813,1
35.5,1.5134,1
960.62,45.5393,1
8.42,0,1
8.36,0,1
-23.47,-1.9755,1
-35.23,-1.9588,1
8.48,0,1
-30.69,-1.7664,1
-27.56,-1.8356,1
-40.32,-1.7364,1
-37.01,-1.8111,1
12.07,0,2
386.43,18.3501,2
455.45,21.4144,2
410.38,18.4088,2
-380.14,-18.641,2
-384.19,-18.5769,2
-440.75,-22.0961,2
-434.81,-21.3916,2
-441.35,-21.6867,2
397.29,18.0787,2
402.48,19.2289,2
-379.64,-19.5331,2
12.1,0,2
469.93,20.9517,2
12.19,0,2
465.77,21.574,2
-448.83,-21.4142,2
455.27,20.6812,2
358.24,16.158,2
-445.73,-22.2512,2
-432.45,-21.0353,2
-382.57,-18.6441,2
-401.37,-19.4709,2
407.07,18.2059,2
456.19,21.7144,2
403.88,18.4633,2
12.17,0,2
-397.15,-19.6108,2
-444.61,-21.4571,2
-363,-17.4398,2
454.2,20.7663,2
399.7,18.4153,2
-394.23,-19.9025,2
445.99,20.832,2
468.94,21.4814,2
-452.61,-22.1165,2
12.02,0,2
11.98,0,2
-75.86,-3.5747,2
-1.83,-0.9519,2
5.5,-0.9957,2
-31.63,-1.6861,2
-12.89,0.5848,2
-32.46,-3.991,2
12.23,0,2
-35.35,-2.1831,2
-53.78,-4.1282,2
-20.05,-1.812,2
-23.05,-1.7642,2
12.18,0,2
12.12,0,2
-6.13,-0.4496,2
-32.64,-2.2736,2
12.25,0.4709,2
13.56,0.2041,2
-23.99,-1.7553,2
3.54,0.1805,2
1032.78,48.5288,2
-1008.79,-48.5397,2
-29.11,-1.1703,2
-6.63,-0.5923,2
-8.14,-0.7946,2
-0.21,-0.8658,2
12.09,0,2
15.29,0,3
398.81,18.9414,3
455.87,21.4041,3
403.62,18.1719,3
-389.8,-18.9449,3
-388.34,-18.8738,3
-444.53,-22.1129,3
-437.43,-21.4156,3
-453.34,-22.3391,3
410.34,18.2034,3
404.86,18.9032,3
-373.12,-18.9983,3
15.04,0,3
462.16,20.8403,3
15.26,0,3
467.52,21.3045,3
-442.52,-21.5802,3
463.48,20.846,3
367.92,16.6628,3
-446.61,-22.3501,3
-441.85,-21.7188,3
-389.25,-19.2402,3
-401.99,-19.8738,3
410.03,18.197,3
458.54,21.4201,3
373.84,16.8662,3
15.18,0,3
-394.52,-19.7519,3
-444.67,-21.375,3
-389.47,-19.0233,3
454.92,20.6254,3
447.97,20.5442,3
-391.63,-19.9139,3
451.32,20.6418,3
469.45,21.7133,3
-446.86,-22.3848,3
15.05,0,3
14.82,0,3
-61.47,-3.6084,3
6.44,-0.274,3
2.03,-0.9199,3
-28.91,-1.5618,3
-3.36,0.7392,3
-36.2,-3.8591,3
15.06,0,3
-38.77,-1.9109,3
-28.7,-3.5057,3
-4.93,-1.2109,3
-15.39,-1.5218,3
15,0,3
15,0,3
6.11,-0.4284,3
-38.12,-2.366,3
11.16,0.45,3
5.88,0.1938,3
-28.55,-1.8433,3
16.38,0.1705,3
1036.11,48.5385,3
-1008.21,-48.5423,3
-36.12,-1.9337,3
-2.5,-0.9034,3
-16.48,-1.4488,3
-5.6,-1.5485,3
15.01,0,3
14.93,0,3
-34.19,-2.2768,3
-15.7,0.1442,3
2.7,0.0386,3
14.96,0,3
-42.19,-4.1393,3
-34.31,-1.8152,3
-27.59,-3.4495,3
15.11,0,3
13.36,0,4
407.11,19.3305,4
463.15,21.8822,4
402.74,18.2678,4
-381.79,-18.8445,4
-389.35,-18.7688,4
-443.48,-21.9657,4
-424.14,-20.8852,4
-439.92,-21.845,4
405.46,18.2234,4
405.4,19.3873,4
-379.64,-19.3634,4
13.13,0,4
464.98,20.9263,4
13.1,0,4
469.08,21.5946,4
-439.65,-21.0198,4
458.62,20.6578,4
361.09,16.2461,4
-440.28,-21.8849,4
-428.45,-21.0417,4
-381.33,-18.6741,4
-397.2,-19.5849,4
408.56,18.3179,4
455.81,21.5865,4
361.61,16.3146,4
13.24,0,4
-398.68,-19.583,4
-440.83,-21.2355,4
-380.85,-18.3425,4
451.55,20.7934,4
401.56,18.1367,4
-384.68,-19.5869,4
454.24,20.871,4
475.41,21.7407,4
-446.78,-22.1326,4
13.13,0,4
12.98,0,4
-51.69,-2.9089,4
11.76,-0.0378,4
2.62,-0.6497,4
-21.52,-1.087,4
-2.64,1.1864,4
-23.83,-3.4509,4
12.99,0,4
-73.99,-3.605,4
-54.98,-4.3242,4
-19.34,-2.0001,4
-31.31,-1.9493,4
12.93,0,4
12.93,0,4
-0.95,-0.5431,4
-41.13,-2.5156,4
11.91,0.292,4
10.16,0.1265,4
-29.08,-1.9651,4
4.49,0.0789,4
1025.62,48.1228,4
-999.63,-48.1226,4
-47.72,-2.2431,4
-4.4,-1.0222,4
-25.44,-1.7634,4
-18.98,-1.8333,4
12.99,0,4
15.24,0,5
396.99,18.877,5
448.43,21.1654,5
398.54,17.9243,5
-380.13,-18.6369,5
-383.84,-18.5675,5
-442.92,-22.0511,5
-430.45,-21.1205,5
-440.56,-21.9645,5
399.33,17.8017,5
399.93,18.7959,5
-378.24,-19.3537,5
15.19,0,5
460.47,20.6882,5
15.33,0,5
466.73,21.2314,5
-434.72,-21.135,5
462.36,20.6723,5
359.32,16.225,5
-445.48,-22.1607,5
-428.17,-21.2034,5
-378.66,-18.7771,5
-393.85,-19.4667,5
399.81,17.8553,5
457.78,21.4217,5
375.77,16.8345,5
15.27,0,5
-389.31,-19.2932,5
-440.56,-21.1688,5
-388.26,-18.9421,5
454.58,20.8245,5
395.83,17.8179,5
-375.31,-19.2784,5
454.31,20.7883,5
462.41,21.2732,5
-448.82,-22.3964,5
15.12,0,5
15.08,0,5
-52.42,-3.2159,5
1.11,-0.469,5
-4.48,-1.0801,5
-35.88,-1.9685,5
-15.59,0.3085,5
-38.78,-4.2829,5
15.28,0,5
-46,-2.2603,5
-49.83,-4.2081,5
-18.25,-1.9113,5
-22.84,-1.8451,5
15.34,0,5
15.33,0,5
7.05,-0.4854,5
-41.28,-2.4009,5
14.66,0.3935,5
6.07,0.1681,5
-24.43,-1.8419,5
11.06,-0.0992,5
-989.08,-47.7648,5
1019.4,47.7512,5
-41.34,-2.3347,5
-2.22,-1.056,5
-25.75,-1.842,5
-16.78,-1.9023,5
15.11,0,5
12.95,0,6
-394.1,-18.8515,6
-440.52,-21.1382,6
-379.18,-19.2991,6
-384.71,-18.6357,6
405.2,19.0834,6
463.26,20.6791,6
-435.05,-21.2202,6
459.51,20.645,6
409.22,18.2518,6
-389.31,-18.631,6
405.65,18.3517,6
13,0,6
-439.26,-21.6161,6
12.92,0,6
478.22,21.6996,6
462.46,21.7991,6
-448.15,-22.1241,6
342.55,15.3388,6
-446.32,-21.9615,6
-432.19,-21.1394,6
-379.99,-18.685,6
-396.17,-19.3132,6
402.11,18.0165,6
-446.97,-21.2553,6
333.02,14.8597,6
12.94,0,6
-393.36,-19.3322,6
456.39,21.4631,6
395.41,18.8657,6
455.6,20.7956,6
-386.87,-19.4981,6
398.11,17.8853,6
450.84,20.6667,6
466.94,21.4325,6
